model_seed,batch_index,parameter,cosine,relative_l2,max_abs
0,0,0.0.bias,1.0,0.0,0.0
0,0,0.0.weight,1.0,0.0,0.0
0,0,1.0.bias,1.0,0.0,0.0
0,0,1.0.weight,1.0000000000000002,0.0,0.0
0,0,3.0.bias,1.0000000000000002,0.0,0.0
0,0,3.0.weight,1.000000000000003,0.0,0.0
0,0,4.0.bias,1.0,0.0,0.0
0,0,4.0.weight,0.9999999999999994,0.0,0.0
0,0,5.bias,1.0,0.0,0.0
0,0,5.weight,0.9999999999999997,0.0,0.0
0,1,0.0.bias,1.0000000000000002,0.0,0.0
0,1,0.0.weight,0.9999999999999997,0.0,0.0
0,1,1.0.bias,1.0,0.0,0.0
0,1,1.0.weight,0.9999999999999996,0.0,0.0
0,1,3.0.bias,1.0,0.0,0.0
0,1,3.0.weight,1.000000000000004,0.0,0.0
0,1,4.0.bias,0.9999999999999998,0.0,0.0
0,1,4.0.weight,0.9999999999999999,0.0,0.0
0,1,5.bias,1.0000000000000002,0.0,0.0
0,1,5.weight,0.9999999999999998,0.0,0.0
0,2,0.0.bias,1.0000000000000002,0.0,0.0
0,2,0.0.weight,1.0,0.0,0.0
0,2,1.0.bias,1.0000000000000004,0.0,0.0
0,2,1.0.weight,1.0,0.0,0.0
0,2,3.0.bias,1.0,0.0,0.0
0,2,3.0.weight,0.999999999999997,0.0,0.0
0,2,4.0.bias,1.0,0.0,0.0
0,2,4.0.weight,1.0000000000000002,0.0,0.0
0,2,5.bias,1.0000000000000002,0.0,0.0
0,2,5.weight,1.0,0.0,0.0
1,0,0.0.bias,1.0,0.0,0.0
1,0,0.0.weight,0.9999999999999998,0.0,0.0
1,0,1.0.bias,1.0,0.0,0.0
1,0,1.0.weight,1.0,0.0,0.0
1,0,3.0.bias,0.9999999999999998,0.0,0.0
1,0,3.0.weight,0.9999999999999973,0.0,0.0
1,0,4.0.bias,0.9999999999999998,0.0,0.0
1,0,4.0.weight,1.0000000000000009,0.0,0.0
1,0,5.bias,0.9999999999999998,0.0,0.0
1,0,5.weight,1.0000000000000002,0.0,0.0
1,1,0.0.bias,0.9999999999999998,0.0,0.0
1,1,0.0.weight,0.9999999999999999,0.0,0.0
1,1,1.0.bias,1.0000000000000002,0.0,0.0
1,1,1.0.weight,1.0,0.0,0.0
1,1,3.0.bias,1.0000000000000002,0.0,0.0
1,1,3.0.weight,0.9999999999999978,0.0,0.0
1,1,4.0.bias,1.0,0.0,0.0
1,1,4.0.weight,0.9999999999999983,0.0,0.0
1,1,5.bias,1.0000000000000002,0.0,0.0
1,1,5.weight,1.0,0.0,0.0
1,2,0.0.bias,0.9999999999999999,0.0,0.0
1,2,0.0.weight,1.0,0.0,0.0
1,2,1.0.bias,1.0000000000000002,0.0,0.0
1,2,1.0.weight,1.0000000000000002,0.0,0.0
1,2,3.0.bias,0.9999999999999998,0.0,0.0
1,2,3.0.weight,1.0000000000000007,0.0,0.0
1,2,4.0.bias,1.0,0.0,0.0
1,2,4.0.weight,0.999999999999999,0.0,0.0
1,2,5.bias,1.0,0.0,0.0
1,2,5.weight,0.9999999999999998,0.0,0.0
2,0,0.0.bias,1.0,0.0,0.0
2,0,0.0.weight,1.0000000000000007,0.0,0.0
2,0,1.0.bias,1.0,0.0,0.0
2,0,1.0.weight,0.9999999999999998,0.0,0.0
2,0,3.0.bias,0.9999999999999998,0.0,0.0
2,0,3.0.weight,0.9999999999999997,0.0,0.0
2,0,4.0.bias,0.9999999999999998,0.0,0.0
2,0,4.0.weight,1.000000000000001,0.0,0.0
2,0,5.bias,1.0,0.0,0.0
2,0,5.weight,0.9999999999999999,0.0,0.0
2,1,0.0.bias,0.9999999999999999,0.0,0.0
2,1,0.0.weight,0.9999999999999999,0.0,0.0
2,1,1.0.bias,0.9999999999999999,0.0,0.0
2,1,1.0.weight,1.0,0.0,0.0
2,1,3.0.bias,1.0000000000000002,0.0,0.0
2,1,3.0.weight,0.9999999999999996,0.0,0.0
2,1,4.0.bias,0.9999999999999999,0.0,0.0
2,1,4.0.weight,0.9999999999999991,0.0,0.0
2,1,5.bias,1.0000000000000002,0.0,0.0
2,1,5.weight,1.0000000000000002,0.0,0.0
2,2,0.0.bias,1.0000000000000002,0.0,0.0
2,2,0.0.weight,0.9999999999999999,0.0,0.0
2,2,1.0.bias,1.0000000000000002,0.0,0.0
2,2,1.0.weight,1.0000000000000007,0.0,0.0
2,2,3.0.bias,1.0,0.0,0.0
2,2,3.0.weight,0.9999999999999983,0.0,0.0
2,2,4.0.bias,1.0,0.0,0.0
2,2,4.0.weight,0.9999999999999991,0.0,0.0
2,2,5.bias,1.0,0.0,0.0
2,2,5.weight,1.0000000000000002,0.0,0.0
